tract,serial_number,repeat_index,num_people,household_income,num_vehicles
200,397941,0,1,<=0,1
200,401647,0,4+,40000-50000,3
200,406595,0,2,100000+,2
200,408712,0,3,100000+,6
200,413167,0,1,<=0,0
200,413167,1,1,<=0,1
200,413167,2,1,<=0,1
200,421506,0,2,30000-40000,2
200,421506,1,2,<=0,2
200,422792,0,2,100000+,3
200,432248,0,1,<=0,1
200,432407,0,2,30000-40000,2
200,439233,0,2,<=0,2
200,445166,0,1,<=0,0
200,446354,0,2,<=0,2
200,450105,0,4+,60000-70000,2
200,451376,0,2,100000+,2
200,453888,0,2,<=0,1
200,453888,1,2,60000-70000,2
200,453888,2,2,<=0,0
200,454592,0,2,100000+,2
200,457690,0,1,<=0,1
200,458908,0,2,40000-50000,2
200,464963,0,3,10000-20000,2
200,471835,0,1,<=0,1
200,474890,0,2,100000+,2
200,476053,0,3,10000-20000,3
200,478596,0,1,<=0,1
200,485050,0,4+,90000-100000,2
200,490673,0,1,<=0,2
200,490673,1,1,<=0,0
200,490706,0,2,70000-80000,3
200,493930,0,1,<=0,1
200,493930,1,1,<=0,1
200,496589,0,2,60000-70000,4
200,497543,0,2,<=0,1
200,499593,0,2,70000-80000,1
200,502833,0,1,<=0,1
200,502833,1,1,<=0,1
200,503319,0,2,<=0,0
200,504469,0,3,60000-70000,5
200,505201,0,1,<=0,1
200,506802,0,2,<=0,1
200,506802,1,2,40000-50000,1
200,509129,0,1,<=0,1
200,509479,0,4+,100000+,2
200,510319,0,2,100000+,2
200,512238,0,2,60000-70000,3
200,512238,1,2,60000-70000,2
200,513251,0,2,100000+,1
200,515020,0,1,<=0,1
200,516133,0,1,<=0,1
200,516133,1,1,<=0,1
200,518110,0,4+,100000+,2
200,519592,0,2,50000-60000,6
200,521800,0,2,60000-70000,2
200,525274,0,2,100000+,1
200,525274,1,2,40000-50000,1
200,525274,2,2,40000-50000,2
200,527687,0,2,40000-50000,1
200,531179,0,2,100000+,0
200,535887,0,1,<=0,1
200,539871,0,2,10000-20000,0
200,545706,0,3,100000+,3
200,545910,0,3,80000-90000,3
200,546469,0,2,100000+,1
200,546469,1,2,50000-60000,4
200,546469,2,2,<=0,1
200,546469,3,2,<=0,3
200,550832,0,2,<=0,2
200,551921,0,3,70000-80000,4
200,553457,0,1,<=0,1
200,560091,0,3,60000-70000,3
200,563015,0,3,100000+,2
200,563718,0,2,100000+,1
200,564818,0,2,70000-80000,3
200,566353,0,4+,20000-30000,2
200,566489,0,1,<=0,1
200,569745,0,3,30000-40000,3
200,574278,0,3,50000-60000,2
200,575324,0,2,20000-30000,2
200,578782,0,1,<=0,1
200,579627,0,1,<=0,1
200,581259,0,2,100000+,1
200,582340,0,1,<=0,0
200,591402,0,1,<=0,1
200,591402,1,1,<=0,1
200,591657,0,1,<=0,1
200,592066,0,3,90000-100000,2
200,592629,0,4+,40000-50000,3
200,593541,0,2,70000-80000,1
200,595345,0,3,100000+,2
200,595345,1,3,100000+,3
200,595345,2,3,<=0,1
200,599563,0,2,<=0,2
200,600551,0,2,50000-60000,1
200,600551,1,2,30000-40000,2
200,602759,0,1,<=0,1
200,610626,0,1,<=0,1
200,612991,0,4+,100000+,3
200,613880,0,1,<=0,1
200,614376,0,1,<=0,1
200,615375,0,1,<=0,1
200,615441,0,2,100000+,2
200,615830,0,3,40000-50000,2
200,619575,0,2,50000-60000,2
200,619575,1,2,100000+,0
200,619575,2,2,40000-50000,1
200,619848,0,1,<=0,1
200,627512,0,2,50000-60000,2
200,627512,1,2,100000+,1
200,628816,0,3,50000-60000,2
200,634731,0,1,<=0,1
200,636523,0,1,<=0,1
200,643309,0,1,<=0,1
200,643309,1,1,<=0,1
200,646288,0,1,<=0,1
200,646288,1,1,<=0,1
200,652483,0,1,<=0,1
200,652483,1,1,<=0,1
200,660577,0,2,90000-100000,0
200,661565,0,3,100000+,2
200,662110,0,1,<=0,1
200,662110,1,1,<=0,1
200,664681,0,2,100000+,2
200,668001,0,4+,70000-80000,2
200,670275,0,2,100000+,0
200,670723,0,4+,40000-50000,2
200,672269,0,4+,50000-60000,2
200,673564,0,2,<=0,1
200,677684,0,2,10000-20000,1
200,679484,0,1,<=0,1
200,679484,1,1,<=0,1
200,679484,2,1,<=0,1
200,679484,3,1,<=0,1
200,680086,0,1,<=0,1
200,680086,1,1,<=0,1
200,681611,0,2,<=0,2
200,684474,0,3,100000+,4
200,688412,0,2,70000-80000,2
200,688412,1,2,20000-30000,4
200,692246,0,2,<=0,0
200,692530,0,2,40000-50000,1
200,696446,0,3,100000+,2
200,699417,0,1,<=0,0
200,699417,1,1,<=0,1
200,703796,0,1,<=0,1
200,704643,0,2,60000-70000,2
200,704643,1,2,100000+,1
200,709398,0,1,<=0,1
200,712309,0,2,100000+,2
200,712352,0,2,100000+,2
200,713342,0,4+,10000-20000,2
200,722943,0,4+,40000-50000,2
200,725451,0,1,<=0,1
200,725451,1,1,<=0,1
200,727405,0,1,<=0,1
200,727405,1,1,<=0,1
200,731932,0,3,10000-20000,3
200,733257,0,2,30000-40000,2
200,740321,0,1,<=0,1
200,742056,0,2,100000+,0
200,745045,0,2,30000-40000,2
200,745045,1,2,100000+,1
200,745045,2,2,100000+,2
200,745045,3,2,60000-70000,1
200,746694,0,1,<=0,0
200,748690,0,2,<=0,4
200,750415,0,2,50000-60000,3
200,750415,1,2,100000+,2
200,751289,0,3,60000-70000,4
200,751289,1,3,100000+,1
200,751289,2,3,70000-80000,3
200,751920,0,1,<=0,1
200,753920,0,2,100000+,1
200,753937,0,1,<=0,1
200,755117,0,1,<=0,1
200,755997,0,1,<=0,1
200,755997,1,1,<=0,1
200,756816,0,3,60000-70000,3
200,757912,0,1,<=0,1
200,758861,0,4+,50000-60000,5
200,760764,0,1,<=0,1
200,760764,1,1,<=0,1
200,761635,0,2,70000-80000,2
200,764151,0,2,100000+,2
200,764151,1,2,90000-100000,2
200,764449,0,2,30000-40000,2
200,765007,0,2,100000+,1
200,765007,1,2,60000-70000,2
200,765474,0,4+,50000-60000,2
200,768207,0,4+,100000+,2
200,768509,0,3,60000-70000,3
200,768509,1,3,30000-40000,2
200,769668,0,2,90000-100000,2
200,770475,0,4+,40000-50000,2
200,772064,0,3,100000+,3
200,772064,1,3,90000-100000,6
200,772064,2,3,70000-80000,3
200,772064,3,3,100000+,2
200,772064,4,3,60000-70000,2
200,773978,0,2,<=0,3
200,777539,0,1,<=0,1
200,778215,0,2,50000-60000,1
200,788967,0,1,<=0,2
200,789433,0,3,100000+,2
200,789433,1,3,30000-40000,5
200,789472,0,2,100000+,2
200,789472,1,2,<=0,2
200,789472,2,2,<=0,2
200,792609,0,1,<=0,1
200,792609,1,1,<=0,1
200,793035,0,1,<=0,1
200,793530,0,2,<=0,3
200,794179,0,1,<=0,1
200,794179,1,1,<=0,1
200,795387,0,1,<=0,3
200,796614,0,3,100000+,2
200,796813,0,2,100000+,2
200,796813,1,2,<=0,2
200,798385,0,1,<=0,1
200,800786,0,1,<=0,2
200,804905,0,1,<=0,1
200,805196,0,1,<=0,2
200,811623,0,1,<=0,2
200,815740,0,1,<=0,1
200,817574,0,4+,50000-60000,4
200,817574,1,4+,20000-30000,2
200,818440,0,1,<=0,2
200,818440,1,1,<=0,1
200,818440,2,1,<=0,2
200,822692,0,1,<=0,1
200,825652,0,3,100000+,2
200,831390,0,1,<=0,1
200,831390,1,1,<=0,1
200,831956,0,1,<=0,1
200,832037,0,3,50000-60000,3
200,834971,0,4+,100000+,1
200,839179,0,2,20000-30000,2
200,843903,0,4+,70000-80000,3
200,844575,0,2,90000-100000,1
200,847951,0,2,100000+,1
200,849589,0,3,<=0,2
200,851814,0,1,<=0,1
200,863975,0,4+,<=0,1
200,871496,0,2,100000+,1
200,871496,1,2,30000-40000,0
200,871496,2,2,30000-40000,4
200,871956,0,3,100000+,3
200,876963,0,2,60000-70000,2
200,876963,1,2,60000-70000,1
200,877990,0,4+,<=0,1
200,878645,0,2,<=0,2
200,879211,0,1,<=0,2
200,879211,1,1,<=0,0
200,881174,0,3,100000+,2
200,882137,0,1,<=0,1
200,882137,1,1,<=0,2
200,887101,0,1,<=0,1
200,887905,0,4+,90000-100000,2
200,888393,0,2,100000+,3
200,888393,1,2,<=0,1
200,893560,0,2,70000-80000,2
200,893667,0,3,50000-60000,3
200,893838,0,2,70000-80000,2
200,897510,0,4+,100000+,3
200,898814,0,3,100000+,2
200,902962,0,2,<=0,3
200,906069,0,2,<=0,3
200,909716,0,1,<=0,1
200,909716,1,1,<=0,0
200,911674,0,1,<=0,1
200,911674,1,1,<=0,0
200,911674,2,1,<=0,1
200,913677,0,1,<=0,2
200,913887,0,3,<=0,3
200,913887,1,3,30000-40000,2
200,914072,0,1,<=0,1
200,914522,0,1,<=0,2
200,918566,0,2,70000-80000,1
200,920462,0,1,<=0,2
200,921408,0,2,<=0,1
200,922290,0,1,<=0,2
200,922290,1,1,<=0,1
200,923497,0,3,100000+,2
200,927634,0,1,<=0,1
200,929452,0,2,100000+,1
200,931389,0,2,100000+,3
200,931902,0,3,<=0,2
200,931902,1,3,100000+,2
200,932095,0,2,100000+,1
200,932095,1,2,<=0,1
200,937063,0,4+,90000-100000,2
200,941607,0,1,<=0,2
200,946389,0,3,100000+,3
200,946389,1,3,100000+,3
200,946389,2,3,100000+,2
200,946389,3,3,90000-100000,2
200,946389,4,3,70000-80000,2
200,946389,5,3,60000-70000,3
200,947792,0,2,<=0,1
200,948936,0,2,100000+,1
200,951730,0,4+,20000-30000,2
200,952327,0,2,40000-50000,0
200,954121,0,2,70000-80000,2
200,957037,0,1,<=0,1
200,957037,1,1,<=0,1
200,962295,0,2,10000-20000,2
200,963585,0,2,60000-70000,1
200,965867,0,2,100000+,1
200,970131,0,2,50000-60000,1
200,973740,0,2,<=0,3
200,973740,1,2,100000+,1
200,976278,0,1,<=0,1
200,976743,0,2,<=0,2
200,984174,0,2,<=0,3
200,990180,0,1,<=0,1
200,990805,0,1,<=0,1
200,994584,0,2,60000-70000,2
200,995254,0,1,<=0,1
200,996103,0,2,<=0,2
200,996103,1,2,30000-40000,1
200,1009835,0,2,40000-50000,2
200,1009835,1,2,100000+,2
200,1010086,0,3,90000-100000,2
200,1014146,0,2,60000-70000,3
200,1015901,0,2,<=0,1
200,1016105,0,1,<=0,1
200,1016199,0,1,<=0,1
200,1017922,0,1,<=0,1
200,1025486,0,1,<=0,1
200,1025486,1,1,<=0,1
200,1037358,0,1,<=0,1
200,1045900,0,1,<=0,0
200,1045900,1,1,<=0,1
200,1045900,2,1,<=0,1
200,1045900,3,1,<=0,1
200,1045900,4,1,<=0,1
200,1047626,0,2,70000-80000,2
200,1047626,1,2,100000+,1
200,1047626,2,2,100000+,1
200,1047703,0,3,100000+,2
200,1048671,0,1,<=0,0
200,1053912,0,4+,50000-60000,5
200,1054402,0,3,<=0,3
200,1056362,0,2,100000+,2
200,1056362,1,2,70000-80000,2
200,1057417,0,4+,100000+,1
200,1062759,0,2,90000-100000,2
200,1064824,0,3,100000+,3
200,1068356,0,1,<=0,1
200,1069540,0,1,<=0,2
200,1071078,0,2,100000+,3
200,1076212,0,2,60000-70000,3
200,1078478,0,2,50000-60000,3
200,1078747,0,2,80000-90000,2
200,1078747,1,2,<=0,2
200,1080597,0,1,<=0,1
200,1083761,0,1,<=0,1
200,1083761,1,1,<=0,1
200,1083761,2,1,<=0,1
200,1086848,0,2,<=0,2
200,1086848,1,2,<=0,2
200,1089088,0,2,30000-40000,2
200,1093792,0,1,<=0,0
200,1093792,1,1,<=0,1
200,1095716,0,2,<=0,0
200,1095716,1,2,100000+,1
200,1100132,0,1,<=0,1
200,1100132,1,1,<=0,0
200,1100233,0,2,40000-50000,1
200,1104913,0,1,<=0,1
200,1104913,1,1,<=0,1
200,1106982,0,4+,60000-70000,1
200,1109610,0,1,<=0,1
200,1110180,0,3,100000+,2
200,1111361,0,1,<=0,1
200,1111361,1,1,<=0,1
200,1112134,0,3,90000-100000,2
200,1113693,0,3,100000+,3
200,1113693,1,3,60000-70000,1
200,1113693,2,3,100000+,3
200,1113708,0,1,<=0,0
200,1121413,0,1,<=0,1
200,1121413,1,1,<=0,1
200,1121647,0,3,30000-40000,3
200,1123305,0,2,50000-60000,1
200,1125489,0,4+,<=0,2
200,1125818,0,2,50000-60000,2
200,1132285,0,2,30000-40000,2
200,1143035,0,1,<=0,1
200,1145852,0,2,100000+,2
200,1146559,0,2,60000-70000,0
200,1150274,0,1,<=0,1
200,1150274,1,1,<=0,2
200,1154687,0,3,80000-90000,3
200,1155809,0,4+,<=0,3
200,1158527,0,1,<=0,1
200,1158688,0,1,<=0,1
200,1158688,1,1,<=0,0
200,1158770,0,4+,40000-50000,2
200,1164481,0,3,100000+,3
200,1167861,0,1,<=0,1
200,1168253,0,4+,100000+,3
200,1172553,0,1,<=0,1
200,1172818,0,2,<=0,2
200,1184081,0,1,<=0,1
200,1191161,0,1,<=0,0
200,1191161,1,1,<=0,3
200,1195079,0,1,<=0,2
200,1197343,0,1,<=0,0
200,1199653,0,2,100000+,1
200,1203397,0,3,30000-40000,3
200,1208187,0,3,100000+,2
200,1208302,0,1,<=0,1
200,1208302,1,1,<=0,2
200,1213066,0,4+,40000-50000,4
200,1215641,0,2,100000+,0
200,1217311,0,1,<=0,2
200,1223688,0,1,<=0,1
200,1225096,0,2,<=0,2
200,1225096,1,2,100000+,0
200,1230272,0,1,<=0,1
200,1230272,1,1,<=0,1
200,1231180,0,1,<=0,2
200,1231180,1,1,<=0,1
200,1232608,0,1,<=0,2
200,1237056,0,3,100000+,2
200,1240899,0,3,<=0,2
200,1242648,0,1,<=0,1
200,1246212,0,2,100000+,2
200,1247458,0,4+,50000-60000,1
200,1249561,0,2,30000-40000,1
200,1249777,0,2,60000-70000,2
200,1250932,0,3,90000-100000,2
200,1256935,0,1,<=0,3
200,1258943,0,2,<=0,1
200,1261353,0,2,30000-40000,2
200,1263661,0,2,100000+,1
200,1266750,0,2,70000-80000,0
200,1266750,1,2,<=0,1
200,1268166,0,2,40000-50000,0
200,1268652,0,1,<=0,1
200,1273091,0,2,<=0,3
200,1273149,0,2,50000-60000,3
200,1273149,1,2,40000-50000,1
200,1273149,2,2,<=0,2
200,1273149,3,2,60000-70000,2
200,1274954,0,1,<=0,2
200,1280061,0,2,50000-60000,2
200,1282753,0,4+,100000+,2
200,1285918,0,4+,100000+,1
200,1286190,0,2,<=0,1
200,1288875,0,3,100000+,1
200,1289626,0,2,20000-30000,2
200,1291155,0,1,<=0,0
200,1292661,0,1,<=0,2
200,1292661,1,1,<=0,1
200,1296766,0,3,80000-90000,2
200,1298736,0,1,<=0,2
200,1304321,0,2,60000-70000,2
200,1309407,0,3,<=0,2
200,1320709,0,1,<=0,1
200,1320850,0,4+,50000-60000,1
200,1323032,0,1,<=0,2
200,1323032,1,1,<=0,1
200,1323032,2,1,<=0,1
200,1329167,0,2,100000+,2
200,1334122,0,4+,0-10000,2
200,1336211,0,2,100000+,3
200,1342092,0,4+,100000+,2
200,1348665,0,1,<=0,1
200,1351595,0,2,60000-70000,2
200,1355269,0,1,<=0,1
200,1369098,0,2,<=0,0
200,1370488,0,2,100000+,3
200,1372728,0,1,<=0,2
200,1375178,0,1,<=0,1
200,1376268,0,2,50000-60000,1
200,1386270,0,2,10000-20000,2
200,1387845,0,4+,20000-30000,1
200,1392925,0,1,<=0,0
200,1392925,1,1,<=0,1
200,1393626,0,1,<=0,1
200,1399638,0,1,<=0,1
200,1401315,0,2,100000+,2
200,1401930,0,1,<=0,1
200,1413249,0,3,50000-60000,3
200,1414789,0,4+,60000-70000,4
200,1415740,0,4+,100000+,1
200,1423822,0,3,<=0,3
200,1427676,0,2,<=0,2
200,1427676,1,2,60000-70000,2
200,1427676,2,2,60000-70000,3
200,1429443,0,2,100000+,4
200,1431302,0,2,40000-50000,2
200,1432941,0,4+,30000-40000,0
200,1437957,0,2,90000-100000,2
200,1446852,0,1,<=0,2
200,1452913,0,4+,70000-80000,2
200,1455072,0,1,<=0,0
200,1456150,0,4+,50000-60000,1
200,1458465,0,1,<=0,1
200,1462360,0,2,100000+,2
200,1462360,1,2,50000-60000,4
200,1462770,0,1,<=0,0
200,1467982,0,1,<=0,1
200,1467982,1,1,<=0,1
200,1468236,0,1,<=0,2
200,1468261,0,2,<=0,2
200,1469909,0,2,40000-50000,2
200,1473583,0,1,<=0,1
200,1476211,0,2,90000-100000,1
200,1476211,1,2,<=0,1
200,1483033,0,2,90000-100000,1
200,1484065,0,3,<=0,3
200,1488981,0,1,<=0,1
200,1489922,0,2,40000-50000,2
200,1492979,0,1,<=0,1
200,1493101,0,1,<=0,1
200,1493101,1,1,<=0,1
200,1493101,2,1,<=0,0
200,1494248,0,1,<=0,0
200,1494248,1,1,<=0,1
200,1494248,2,1,<=0,1
200,1495085,0,3,80000-90000,2
200,1505191,0,2,<=0,1
200,1507326,0,2,60000-70000,2
200,1507326,1,2,100000+,2
200,1509111,0,1,<=0,1
200,1509111,1,1,<=0,0
200,1509111,2,1,<=0,1
200,1509111,3,1,<=0,1
200,1511162,0,1,<=0,1
200,1511162,1,1,<=0,1
301,3474,0,1,<=0,1
301,3474,1,1,<=0,1
301,5235,0,3,70000-80000,2
301,5235,1,3,20000-30000,3
301,5235,2,3,100000+,2
301,5235,3,3,100000+,2
301,9650,0,3,100000+,3
301,9650,1,3,100000+,2
301,11823,0,4+,<=0,3
301,11823,1,4+,40000-50000,1
301,11823,2,4+,50000-60000,2
301,11823,3,4+,<=0,2
301,11823,4,4+,<=0,0
301,12471,0,2,60000-70000,2
301,13236,0,3,<=0,3
301,13236,1,3,70000-80000,1
301,13236,2,3,30000-40000,3
301,14113,0,1,<=0,0
301,15838,0,2,30000-40000,3
301,15838,1,2,70000-80000,1
301,15838,2,2,10000-20000,2
301,15838,3,2,<=0,2
301,17212,0,1,<=0,1
301,17212,1,1,<=0,1
301,17212,2,1,<=0,1
301,17569,0,1,<=0,0
301,17569,1,1,<=0,1
301,17569,2,1,<=0,1
301,17569,3,1,<=0,1
301,17569,4,1,<=0,2
301,17569,5,1,<=0,1
301,17569,6,1,<=0,1
301,19392,0,3,100000+,1
301,19392,1,3,<=0,2
301,19554,0,1,<=0,2
301,19641,0,1,<=0,1
301,19641,1,1,<=0,2
301,19727,0,1,<=0,2
301,19727,1,1,<=0,0
301,19727,2,1,<=0,1
301,19727,3,1,<=0,1
301,19727,4,1,<=0,1
301,21395,0,3,50000-60000,2
301,21395,1,3,90000-100000,3
301,25419,0,4+,10000-20000,1
301,25419,1,4+,80000-90000,2
301,25419,2,4+,100000+,3
301,25494,0,2,30000-40000,0
301,25494,1,2,<=0,2
301,25638,0,3,30000-40000,4
301,27835,0,2,30000-40000,1
301,32216,0,1,<=0,1
301,34086,0,2,<=0,2
301,34086,1,2,70000-80000,1
301,34548,0,1,<=0,1
301,34548,1,1,<=0,1
301,34548,2,1,<=0,0
301,37783,0,4+,80000-90000,3
301,37783,1,4+,40000-50000,3
301,37783,2,4+,100000+,2
301,55887,0,3,50000-60000,2
301,55887,1,3,90000-100000,2
301,55887,2,3,60000-70000,2
301,58854,0,1,<=0,0
301,58854,1,1,<=0,1
301,58854,2,1,<=0,1
301,60114,0,2,100000+,2
301,60246,0,1,<=0,1
301,60246,1,1,<=0,2
301,60246,2,1,<=0,1
301,61025,0,1,<=0,1
301,67573,0,1,<=0,1
301,68055,0,1,<=0,1
301,68055,1,1,<=0,0
301,68055,2,1,<=0,2
301,69334,0,1,<=0,2
301,69334,1,1,<=0,1
301,69334,2,1,<=0,1
301,74086,0,2,20000-30000,2
301,74086,1,2,100000+,1
301,74086,2,2,70000-80000,3
301,77371,0,4+,80000-90000,1
301,89938,0,2,100000+,2
301,89938,1,2,100000+,0
301,90744,0,1,<=0,1
301,94192,0,3,70000-80000,2
301,94192,1,3,50000-60000,5
301,94192,2,3,100000+,3
301,95462,0,4+,70000-80000,2
301,95462,1,4+,100000+,2
301,100720,0,2,60000-70000,0
301,100720,1,2,100000+,1
301,100720,2,2,<=0,2
301,101072,0,3,100000+,2
301,101072,1,3,100000+,2
301,105801,0,4+,100000+,3
301,106609,0,4+,20000-30000,2
301,106850,0,1,<=0,0
301,106850,1,1,<=0,1
301,106850,2,1,<=0,2
301,106850,3,1,<=0,0
301,108570,0,1,<=0,1
301,108570,1,1,<=0,1
301,108713,0,1,<=0,2
301,108713,1,1,<=0,1
301,108713,2,1,<=0,1
301,108713,3,1,<=0,0
301,108713,4,1,<=0,1
301,108713,5,1,<=0,1
301,108713,6,1,<=0,1
301,108713,7,1,<=0,1
301,108713,8,1,<=0,1
301,108713,9,1,<=0,1
301,111438,0,3,<=0,2
301,111438,1,3,70000-80000,4
301,111438,2,3,30000-40000,2
301,114403,0,2,100000+,0
301,117418,0,1,<=0,1
301,117418,1,1,<=0,1
301,117418,2,1,<=0,2
301,119550,0,4+,50000-60000,2
301,119550,1,4+,80000-90000,2
301,119550,2,4+,100000+,2
301,123637,0,2,<=0,1
301,123637,1,2,100000+,1
301,123637,2,2,50000-60000,3
301,123637,3,2,50000-60000,3
301,123898,0,2,<=0,2
301,123898,1,2,60000-70000,1
301,124445,0,3,100000+,2
301,124445,1,3,100000+,6
301,124463,0,1,<=0,2
301,124463,1,1,<=0,1
301,124463,2,1,<=0,0
301,124463,3,1,<=0,1
301,124463,4,1,<=0,0
301,124463,5,1,<=0,1
301,124463,6,1,<=0,2
301,127258,0,3,100000+,3
301,127258,1,3,<=0,3
301,129617,0,1,<=0,3
301,129617,1,1,<=0,0
301,129617,2,1,<=0,1
301,129950,0,3,50000-60000,2
301,129950,1,3,40000-50000,2
301,129950,2,3,100000+,2
301,130242,0,2,100000+,1
301,130242,1,2,60000-70000,1
301,130242,2,2,100000+,1
301,131853,0,1,<=0,1
301,131853,1,1,<=0,1
301,133002,0,1,<=0,1
301,133002,1,1,<=0,1
301,137407,0,4+,100000+,0
