household_id,building_id,tract,serial_number,repeat_index,persons,income,num_vehicles
102,100102,200,219406,0,1,26269,0
103,100103,200,220522,0,2,60762,2
104,100104,200,222524,0,1,27565,1
105,100105,200,227994,0,3,66928,2
106,100106,200,228591,0,2,100001,2
107,100107,200,229398,0,1,36269,1
108,100108,200,229492,0,2,100001,2
109,100109,200,229858,0,4,53908,2
110,100110,200,231324,0,1,18821,1
111,100111,200,231324,1,1,100001,1
112,100112,200,237222,0,2,44416,1
113,100113,200,245878,0,2,55555,1
114,100114,200,245878,1,2,85275,2
115,100115,200,246783,0,1,86463,1
116,100116,200,246783,1,1,6032,1
117,100117,200,248611,0,1,81724,0
118,100118,200,248611,1,1,9542,1
119,100119,200,250265,0,1,10496,0
120,100120,200,253525,0,1,19104,0
121,100121,200,255787,0,3,42673,1
122,100122,200,255787,1,3,63201,1
123,100123,200,255787,2,3,72666,0
124,100124,200,256549,0,3,57195,3
125,100125,200,259689,0,3,57489,3
126,100126,200,259689,1,3,100001,2
127,100127,200,259689,2,3,38048,1
128,100128,200,259906,0,1,18354,0
129,100129,200,259906,1,1,20563,3
130,100130,200,259906,2,1,6544,1
131,100131,200,259906,3,1,40278,1
132,100132,200,269968,0,4,37752,4
133,100133,200,271941,0,1,19046,1
134,100134,200,274399,0,1,42778,0
135,100135,200,274399,1,1,42361,1
136,100136,200,275271,0,1,42637,1
137,100137,200,275700,0,1,18723,1
138,100138,200,275795,0,1,46362,1
139,100139,200,277332,0,1,9953,1
140,100140,200,277637,0,2,12850,2
141,100141,200,278555,0,3,100001,2
142,100142,200,280369,0,1,17253,1
143,100143,200,291892,0,1,2272,1
144,100144,200,296221,0,1,40041,1
145,100145,200,296823,0,1,5483,1
146,100146,200,297324,0,3,41357,2
147,100147,200,297324,1,3,61628,2
148,100148,200,297324,2,3,86364,3
149,100149,200,300255,0,2,46607,2
150,100150,200,300338,0,1,48697,1
151,100151,200,302600,0,1,59945,1
152,100152,200,302600,1,1,38635,0
153,100153,200,304448,0,1,10014,2
154,100154,200,310922,0,1,9838,2
155,100155,200,313840,0,2,3883,2
156,100156,200,314343,0,1,35463,1
157,100157,200,314343,1,1,16812,1
158,100158,200,314343,2,1,39504,0
159,100159,200,314343,3,1,100001,2
160,100160,200,314343,4,1,23934,0
161,100161,200,322899,0,1,13130,2
162,100162,200,326715,0,1,29629,1
163,100163,200,326715,1,1,3582,0
164,100164,200,326715,2,1,46849,1
165,100165,200,329981,0,2,66043,2
166,100166,200,331726,0,2,73278,2
167,100167,200,332238,0,2,94279,2
168,100168,200,333878,0,2,100001,1
169,100169,200,334689,0,2,4964,2
170,100170,200,334976,0,2,100001,2
171,100171,200,335917,0,1,15957,1
172,100172,200,337311,0,2,44661,1
173,100173,200,337754,0,1,2676,1
174,100174,200,339193,0,2,38789,2
175,100175,200,339896,0,4,68706,3
176,100176,200,344364,0,2,90658,1
177,100177,200,344364,1,2,56893,2
178,100178,200,345448,0,1,12328,1
179,100179,200,345859,0,4,76228,2
180,100180,200,346161,0,2,50436,2
181,100181,200,346501,0,3,100001,3
182,100182,200,346817,0,1,31344,1
183,100183,200,347953,0,1,24103,2
184,100184,200,347953,1,1,14820,1
185,100185,200,347953,2,1,3648,2
186,100186,200,347953,3,1,23813,1
187,100187,200,354006,0,3,78424,2
188,100188,200,356089,0,3,100001,2
189,100189,200,358226,0,2,94042,2
190,100190,200,367269,0,4,83919,2
191,100191,200,367421,0,3,74178,2
192,100192,200,368975,0,1,7686,1
193,100193,200,370069,0,3,86753,2
194,100194,200,370069,1,3,95895,1
195,100195,200,371077,0,1,7231,1
196,100196,200,372047,0,4,5649,2
197,100197,200,372289,0,1,26269,2
198,100198,200,373251,0,1,18866,1
199,100199,200,373798,0,1,49217,2
200,100200,200,374043,0,1,26269,1
201,100201,200,375030,0,2,20461,3
202,100202,200,378241,0,2,91608,2
203,100203,200,378940,0,2,100001,2
204,100204,200,385124,0,1,33224,1
205,100205,200,385124,1,1,49720,2
206,100206,200,385124,2,1,256,1
207,100207,200,385480,0,4,21684,1
208,100208,200,393165,0,2,41795,1
209,100209,200,393984,0,1,26269,1
210,100210,200,398405,0,1,14440,1
211,100211,200,401942,0,2,94027,2
212,100212,200,402665,0,4,38597,2
213,100213,200,403689,0,2,62072,1
214,100214,200,405788,0,3,100001,2
215,100215,200,405788,1,3,90373,2
216,100216,200,410356,0,1,23101,1
217,100217,200,412906,0,1,14351,1
218,100218,200,420001,0,2,100001,1
219,100219,200,420001,1,2,10077,1
220,100220,200,420001,2,2,100001,3
221,100221,200,422427,0,1,44622,0
222,100222,200,424864,0,3,6442,3
223,100223,200,426322,0,3,29875,2
224,100224,200,426631,0,2,41672,2
225,100225,200,426631,1,2,47648,2
226,100226,200,428056,0,2,59755,2
227,100227,200,430785,0,1,12977,1
228,100228,200,433350,0,2,85469,0
229,100229,200,434812,0,2,36799,4
230,100230,200,435785,0,2,46451,2
231,100231,200,436009,0,3,100001,2
232,100232,200,436009,1,3,100001,2
233,100233,200,436009,2,3,100001,2
234,100234,200,437711,0,4,100001,2
235,100235,200,438350,0,1,46432,1
236,100236,200,438350,1,1,44441,1
237,100237,200,438350,2,1,58938,1
238,100238,200,438350,3,1,82436,1
239,100239,200,440521,0,4,71555,3
240,100240,200,442667,0,3,11396,2
241,100241,200,446579,0,1,88636,0
242,100242,200,448708,0,1,13620,1
243,100243,200,448929,0,3,100001,2
244,100244,200,449262,0,3,68486,1
245,100245,200,449583,0,1,34376,1
246,100246,200,451484,0,1,30680,4
247,100247,200,454443,0,2,15331,2
248,100248,200,454702,0,2,55669,1
249,100249,200,458055,0,2,91923,2
250,100250,200,460797,0,1,26269,1
251,100251,200,460797,1,1,28313,1
252,100252,200,462252,0,2,39543,2
253,100253,200,465588,0,4,13987,5
254,100254,200,465588,1,4,64070,2
255,100255,200,467387,0,1,40951,1
256,100256,200,467758,0,3,69648,2
257,100257,200,467758,1,3,100001,2
258,100258,200,469601,0,1,43294,1
259,100259,200,470556,0,2,28423,2
260,100260,200,473521,0,2,71988,2
261,100261,200,474874,0,3,68824,2
262,100262,200,477343,0,1,35427,2
263,100263,200,480642,0,2,100001,1
264,100264,200,485238,0,1,49869,1
265,100265,200,485238,1,1,29726,1
266,100266,200,486071,0,1,15156,1
267,100267,200,489569,0,2,10138,2
268,100268,200,492437,0,1,6642,4
269,100269,200,495865,0,2,100001,2
270,100270,200,499112,0,1,16069,0
271,100271,200,500488,0,1,8974,1
272,100272,200,503466,0,1,338,1
273,100273,200,504532,0,2,19892,2
274,100274,200,506212,0,2,69702,2
275,100275,200,506218,0,2,2487,4
276,100276,200,506312,0,3,16176,2
277,100277,200,509392,0,1,77063,1
278,100278,200,509417,0,1,46099,1
279,100279,200,509417,1,1,31388,1
280,100280,200,511705,0,2,100001,1
281,100281,200,513353,0,1,17061,2
282,100282,200,519684,0,2,10002,1
283,100283,200,523884,0,2,100001,1
284,100284,200,524147,0,2,100001,2
285,100285,200,527571,0,2,100001,2
286,100286,200,527571,1,2,51984,2
287,100287,200,528141,0,2,13601,2
288,100288,200,531173,0,3,53337,1
289,100289,200,531918,0,1,26269,1
290,100290,200,534314,0,3,15454,2
291,100291,200,539889,0,3,67154,2
292,100292,200,539889,1,3,100001,2
293,100293,200,541241,0,2,42479,2
294,100294,200,541906,0,2,53653,2
295,100295,200,542616,0,3,14231,3
296,100296,200,545231,0,3,100001,3
297,100297,200,550864,0,2,100001,2
298,100298,200,556031,0,3,100001,2
299,100299,200,559511,0,2,100001,2
300,100300,200,559511,1,2,39274,3
301,100301,200,560028,0,1,12927,1
302,100302,200,560113,0,2,94275,1
303,100303,200,566693,0,2,100001,1
304,100304,200,567073,0,1,7782,0
305,100305,200,570173,0,2,5195,2
306,100306,200,572827,0,1,16671,1
307,100307,200,572827,1,1,17804,0
308,100308,200,580532,0,1,4621,1
309,100309,200,581826,0,1,83517,1
310,100310,200,582362,0,1,48103,1
311,100311,200,583916,0,1,621,1
312,100312,200,585735,0,2,8851,2
313,100313,200,586937,0,2,100001,2
314,100314,200,587606,0,1,16660,0
315,100315,200,588640,0,2,13611,2
316,100316,200,590942,0,1,6068,0
317,100317,200,592707,0,2,94878,1
318,100318,200,595627,0,3,7944,2
319,100319,200,596891,0,1,100001,1
320,100320,200,597361,0,3,94338,3
321,100321,200,597377,0,3,100001,2
322,100322,200,598021,0,1,53955,1
323,100323,200,600133,0,2,70036,2
324,100324,200,602613,0,1,28876,0
325,100325,200,606193,0,1,36958,1
326,100326,200,609755,0,2,69487,2
327,100327,200,610653,0,2,52184,0
328,100328,200,613142,0,2,85805,2
329,100329,200,613510,0,4,28081,2
330,100330,200,616040,0,2,94477,2
331,100331,200,617121,0,2,31993,2
332,100332,200,617371,0,1,13016,2
333,100333,200,618072,0,3,100001,2
334,100334,200,619609,0,1,29530,1
335,100335,200,627001,0,2,13534,2
336,100336,200,630749,0,2,27181,2
337,100337,200,637819,0,2,51062,2
338,100338,200,639450,0,3,52724,3
339,100339,200,641016,0,2,86703,2
340,100340,200,641292,0,1,19366,1
341,100341,200,641388,0,4,77793,0
342,100342,200,641388,1,4,52846,0
343,100343,200,641388,2,4,100001,0
344,100344,200,642350,0,1,5200,1
345,100345,200,648900,0,3,100001,2
346,100346,200,649712,0,2,100001,0
347,100347,200,649796,0,1,55475,1
348,100348,200,650574,0,2,86410,2
349,100349,200,653472,0,2,7525,2
350,100350,200,654116,0,1,30360,2
351,100351,200,654116,1,1,39569,1
352,100352,200,654116,2,1,3178,2
353,100353,200,654116,3,1,24139,1
354,100354,200,654536,0,2,86260,2
355,100355,200,656656,0,2,37658,2
356,100356,200,664857,0,2,88974,2
357,100357,200,667444,0,2,61432,2
358,100358,200,667500,0,4,35229,0
359,100359,200,667500,1,4,161,3
360,100360,200,667892,0,1,39635,1
361,100361,200,671222,0,1,43192,1
362,100362,200,672708,0,1,42568,1
363,100363,200,673385,0,2,34246,2
364,100364,200,673606,0,2,93923,2
365,100365,200,678537,0,3,100001,3
366,100366,200,680115,0,1,55252,1
367,100367,200,680328,0,4,100001,2
368,100368,200,681931,0,2,96973,1
369,100369,200,682195,0,2,52018,1
370,100370,200,690398,0,4,73822,3
371,100371,200,691902,0,2,100001,2
372,100372,200,694405,0,2,14142,2
373,100373,200,697227,0,2,100001,4
374,100374,200,703989,0,1,35320,1
375,100375,200,710646,0,2,26317,1
376,100376,200,710722,0,2,9856,0
377,100377,200,710771,0,1,26269,2
378,100378,200,711485,0,2,12306,4
379,100379,200,712406,0,1,36448,0
380,100380,200,715104,0,1,31278,0
381,100381,200,715163,0,2,48905,1
382,100382,200,718178,0,2,31129,3
383,100383,200,719178,0,1,15027,1
384,100384,200,722971,0,4,100001,0
385,100385,200,723207,0,3,69231,2
386,100386,200,725871,0,3,78283,2
387,100387,200,726614,0,2,35063,2
388,100388,200,728478,0,1,49883,1
389,100389,200,742781,0,2,8030,2
390,100390,200,745530,0,2,15328,2
391,100391,200,745530,1,2,42097,2
392,100392,200,745530,2,2,54596,2
393,100393,200,748286,0,2,42931,1
394,100394,200,749463,0,2,100001,2
395,100395,200,749707,0,3,100001,2
396,100396,200,749943,0,2,3525,1
397,100397,200,753648,0,4,100001,2
398,100398,200,755154,0,1,26269,0
399,100399,200,757948,0,1,35969,1
400,100400,200,760220,0,2,6410,1
401,100401,200,761488,0,4,18286,1
402,100402,200,763969,0,1,17688,1
403,100403,200,764228,0,4,100001,4
404,100404,200,765911,0,1,20163,0
405,100405,200,767843,0,2,100001,1
406,100406,200,770095,0,1,31040,0
407,100407,200,772079,0,2,100001,2
408,100408,200,774776,0,1,23168,1
409,100409,200,776751,0,2,44037,2
410,100410,200,778671,0,1,7728,1
411,100411,200,782002,0,4,20771,2
412,100412,200,785939,0,1,37024,1
413,100413,200,787028,0,1,4643,2
414,100414,200,796609,0,3,100001,5
415,100415,200,800947,0,1,8658,1
416,100416,200,802264,0,1,66299,0
417,100417,200,802847,0,3,45649,1
418,100418,200,804183,0,4,100001,1
419,100419,200,809212,0,3,997,2
420,100420,200,809749,0,2,63837,1
421,100421,200,816582,0,2,48140,0
422,100422,200,818389,0,1,27705,1
423,100423,200,819322,0,1,43826,1
424,100424,200,826281,0,1,975,1
425,100425,200,826846,0,1,50210,1
426,100426,200,828499,0,1,100001,1
427,100427,200,828499,1,1,80060,1
428,100428,200,828499,2,1,86904,1
429,100429,200,828499,3,1,8942,0
430,100430,200,831188,0,1,5828,2
431,100431,200,834806,0,1,4142,0
432,100432,200,836812,0,1,8839,1
433,100433,200,837543,0,2,100001,0
434,100434,200,847875,0,3,90858,2
435,100435,200,851159,0,4,41458,3
436,100436,200,853111,0,2,100001,0
437,100437,200,855669,0,1,6749,1
438,100438,200,855669,1,1,44520,1
439,100439,200,855669,2,1,26269,1
440,100440,200,859745,0,1,66742,0
441,100441,200,859745,1,1,30903,1
442,100442,200,859745,2,1,19061,4
443,100443,200,859745,3,1,25276,1
444,100444,200,859745,4,1,15176,0
445,100445,200,862280,0,1,9738,1
446,100446,200,862578,0,3,100001,3
447,100447,200,867714,0,3,48304,1
448,100448,200,869972,0,4,81903,1
449,100449,200,870156,0,2,43438,2
450,100450,200,879741,0,2,73304,2
451,100451,200,879916,0,2,100001,2
452,100452,200,881642,0,1,35371,1
453,100453,200,888118,0,1,32972,1
454,100454,200,889432,0,2,100001,2
455,100455,200,890343,0,2,45607,2
456,100456,200,890343,1,2,100001,2
457,100457,200,890343,2,2,28809,1
458,100458,200,893111,0,3,100001,2
459,100459,200,898687,0,2,38662,1
460,100460,200,905658,0,1,84252,1
461,100461,200,907462,0,2,6084,0
462,100462,200,911536,0,1,50003,2
463,100463,200,914872,0,2,26549,2
464,100464,200,919931,0,2,83308,0
465,100465,200,919931,1,2,49756,3
466,100466,200,924586,0,1,11691,1
467,100467,200,924724,0,1,26269,1
468,100468,200,926248,0,2,45758,1
469,100469,200,931848,0,1,7833,1
470,100470,200,933111,0,2,100001,1
471,100471,200,933111,1,2,9373,3
472,100472,200,933949,0,1,15546,1
473,100473,200,934802,0,1,16519,1
474,100474,200,934802,1,1,18679,0
475,100475,200,940404,0,4,62352,2
476,100476,200,941202,0,1,17501,2
477,100477,200,945714,0,3,71753,2
478,100478,200,947358,0,1,26269,1
479,100479,200,947923,0,3,917,2
480,100480,200,947953,0,2,100001,2
481,100481,200,948365,0,2,48113,2
482,100482,200,951281,0,4,7360,2
483,100483,200,951377,0,3,44300,2
484,100484,200,954799,0,1,62616,1
485,100485,200,954799,1,1,13700,1
486,100486,200,954985,0,2,26269,1
487,100487,200,961747,0,1,40668,0
488,100488,200,963232,0,1,20738,0
489,100489,200,963808,0,2,67624,2
490,100490,200,963926,0,2,100001,2
491,100491,200,965625,0,1,23935,1
492,100492,200,967356,0,2,27423,2
493,100493,200,967356,1,2,39163,1
494,100494,200,967751,0,3,100001,2
495,100495,200,968317,0,1,2773,0
496,100496,200,972488,0,1,48434,1
497,100497,200,972488,1,1,6916,1
498,100498,200,972488,2,1,26269,1
499,100499,200,978245,0,4,37485,2
500,100500,200,979552,0,1,20268,1
501,100501,200,981588,0,2,56143,1
502,100502,200,987338,0,1,43485,1
503,100503,200,988661,0,1,23299,1
504,100504,200,988661,1,1,39397,0
505,100505,200,991242,0,2,100001,0
506,100506,200,992486,0,2,15693,6
507,100507,200,992486,1,2,33863,0
508,100508,200,992486,2,2,56265,2
509,100509,200,992525,0,3,100001,1
510,100510,200,999998,0,2,100001,2
511,100511,200,1001514,0,2,37177,2
512,100512,200,1002612,0,2,18177,2
513,100513,200,1002612,1,2,52344,1
514,100514,200,1002612,2,2,83451,2
515,100515,200,1005756,0,3,57991,3
516,100516,200,1005756,1,3,41026,2
517,100517,200,1005986,0,2,94499,2
518,100518,200,1006267,0,1,13613,1
519,100519,200,1009120,0,3,70324,3
520,100520,200,1012851,0,2,81189,2
521,100521,200,1013748,0,1,20327,0
522,100522,200,1013748,1,1,40425,1
523,100523,200,1020282,0,2,100001,2
524,100524,200,1022078,0,2,100001,2
525,100525,200,1022212,0,1,48718,1
526,100526,200,1026344,0,2,100001,1
527,100527,200,1033400,0,2,72436,2
528,100528,200,1039565,0,1,31165,2
529,100529,200,1041713,0,3,25096,3
530,100530,200,1042131,0,1,19238,1
531,100531,200,1042131,1,1,12290,1
532,100532,200,1042131,2,1,3535,1
533,100533,200,1043611,0,3,19126,2
534,100534,200,1046828,0,2,24429,0
535,100535,200,1047037,0,3,19314,3
536,100536,200,1047784,0,2,100001,2
537,100537,200,1047816,0,1,5116,2
538,100538,200,1047816,1,1,24426,1
539,100539,200,1047816,2,1,21561,0
540,100540,200,1048210,0,2,95429,2
541,100541,200,1049947,0,2,31755,2
542,100542,200,1054779,0,2,100001,2
543,100543,200,1057710,0,1,11536,0
544,100544,200,1057899,0,3,70339,2
545,100545,200,1058550,0,1,43936,1
546,100546,200,1058550,1,1,24839,1
547,100547,200,1062921,0,4,47118,2
548,100548,200,1068211,0,2,100001,4
549,100549,200,1069187,0,2,55078,1
550,100550,200,1073019,0,2,61551,1
551,100551,200,1074589,0,4,48966,0
552,100552,200,1076965,0,1,16360,0
553,100553,200,1078974,0,4,100001,2
554,100554,200,1078974,1,4,23439,2
555,100555,200,1084829,0,1,43393,1
556,100556,200,1087192,0,3,100001,1
557,100557,200,1087259,0,2,92406,2
558,100558,200,1088371,0,1,51044,1
559,100559,200,1090197,0,2,100001,2
560,100560,200,1091984,0,1,49844,1
561,100561,200,1093544,0,2,6332,2
562,100562,200,1098043,0,1,41210,1
563,100563,200,1098043,1,1,31020,1
564,100564,200,1098043,2,1,24793,1
565,100565,200,1099958,0,2,22249,2
566,100566,200,1100856,0,3,59925,1
567,100567,200,1102138,0,2,100001,2
568,100568,200,1103196,0,1,21460,0
569,100569,200,1104133,0,2,100001,2
570,100570,200,1106279,0,1,2331,0
571,100571,200,1106279,1,1,25986,1
572,100572,200,1106279,2,1,38294,1
573,100573,200,1106279,3,1,13099,2
574,100574,200,1106279,4,1,19629,0
575,100575,200,1109676,0,2,32069,1
576,100576,200,1110318,0,1,88808,2
577,100577,200,1110438,0,1,15867,1
578,100578,200,1110642,0,3,50707,2
579,100579,200,1111078,0,4,70046,1
580,100580,200,1114106,0,3,100001,2
581,100581,200,1114106,1,3,57758,3
582,100582,200,1117244,0,2,100001,2
583,100583,200,1118019,0,3,57871,2
584,100584,200,1119712,0,1,19207,0
585,100585,200,1123672,0,1,58203,1
586,100586,200,1125043,0,3,49287,2
587,100587,200,1129217,0,2,100001,3
588,100588,200,1129478,0,2,94600,2
589,100589,200,1131535,0,3,27882,3
590,100590,200,1139538,0,3,71931,2
591,100591,200,1141665,0,1,24626,1
592,100592,200,1142884,0,2,42237,2
593,100593,200,1143047,0,2,65452,2
594,100594,200,1143047,1,2,9395,2
595,100595,200,1143047,2,2,97584,2
596,100596,200,1143480,0,2,34709,2
597,100597,200,1143862,0,4,24922,2
598,100598,200,1145599,0,3,31095,3
599,100599,200,1146450,0,4,100001,3
600,100600,200,1152550,0,4,42830,2
601,100601,200,1156207,0,4,40860,3
602,100602,200,1168985,0,1,11101,1
603,100603,200,1171006,0,1,2128,1
604,100604,200,1175179,0,1,8325,5
605,100605,200,1175247,0,3,79093,2
606,100606,200,1176163,0,1,4156,1
607,100607,200,1179579,0,2,25542,2
608,100608,200,1189899,0,1,2964,1
609,100609,200,1191658,0,3,79326,3
610,100610,200,1193677,0,2,6539,0
611,100611,200,1195218,0,1,86738,1
612,100612,200,1195218,1,1,40913,1
613,100613,200,1197177,0,1,15627,1
614,100614,200,1199221,0,4,2526,1
615,100615,200,1202900,0,3,100001,2
616,100616,200,1205379,0,2,75911,2
617,100617,200,1208571,0,1,49855,1
618,100618,200,1209569,0,2,96599,2
619,100619,200,1209569,1,2,57450,2
620,100620,200,1209569,2,2,47258,2
621,100621,200,1219640,0,1,21199,0
622,100622,200,1219640,1,1,12541,0
623,100623,200,1219756,0,1,13861,1
624,100624,200,1219756,1,1,8043,1
625,100625,200,1219756,2,1,84526,1
626,100626,200,1219861,0,4,66271,0
627,100627,200,1220024,0,1,10899,1
628,100628,200,1220422,0,2,10902,1
629,100629,200,1220893,0,4,100001,0
630,100630,200,1222503,0,3,54721,2
631,100631,200,1225172,0,3,100001,3
632,100632,200,1225305,0,2,1851,2
633,100633,200,1225305,1,2,48041,1
634,100634,200,1226701,0,1,35573,2
635,100635,200,1230931,0,2,97553,1
636,100636,200,1232451,0,2,28208,2
637,100637,200,1236693,0,2,79631,2
638,100638,200,1240587,0,2,2598,2
639,100639,200,1241485,0,2,100001,0
640,100640,200,1241485,1,2,29157,3
641,100641,200,1241485,2,2,100001,3
642,100642,200,1241886,0,3,100001,1
643,100643,200,1244759,0,1,66689,1
644,100644,200,1248284,0,1,44937,1
645,100645,200,1259079,0,2,53339,2
646,100646,200,1263651,0,1,21240,0
647,100647,200,1269270,0,2,31982,2
648,100648,200,1269921,0,2,36722,2
649,100649,200,1270072,0,1,10146,1
650,100650,200,1272470,0,2,91243,2
651,100651,200,1275969,0,1,30107,0
652,100652,200,1276481,0,4,29588,2
653,100653,200,1281388,0,2,16851,1
654,100654,200,1286142,0,1,35229,1
655,100655,200,1287772,0,3,100001,2
656,100656,200,1290838,0,3,79201,3
657,100657,200,1292660,0,4,86956,3
658,100658,200,1295744,0,2,100001,2
659,100659,200,1295904,0,1,13588,1
660,100660,200,1296365,0,2,100001,2
661,100661,200,1300359,0,1,19192,1
662,100662,200,1300558,0,4,6807,0
663,100663,200,1300558,1,4,75547,2
664,100664,200,1303415,0,1,58442,0
665,100665,200,1307077,0,2,4057,2
666,100666,200,1311096,0,2,17750,2
667,100667,200,1311096,1,2,100001,2
668,100668,200,1312517,0,3,1952,0
669,100669,200,1315484,0,3,79661,2
670,100670,200,1325810,0,1,23410,1
671,100671,200,1326636,0,2,11702,1
672,100672,200,1327072,0,2,78039,2
673,100673,200,1327528,0,2,82261,1
674,100674,200,1329609,0,1,20937,1
675,100675,200,1329667,0,1,14283,0
676,100676,200,1329830,0,2,67434,2
677,100677,200,1330120,0,2,32343,1
678,100678,200,1331314,0,2,66934,3
679,100679,200,1333828,0,2,34245,2
680,100680,200,1334807,0,3,100001,2
681,100681,200,1343023,0,2,10029,1
682,100682,200,1344946,0,1,2880,1
683,100683,200,1345497,0,1,23364,1
684,100684,200,1348629,0,2,92343,1
685,100685,200,1349988,0,3,19187,1
686,100686,200,1350187,0,2,25415,3
687,100687,200,1351497,0,3,100001,2
688,100688,200,1355925,0,2,66458,1
689,100689,200,1357325,0,4,25732,2
690,100690,200,1358278,0,1,19220,1
691,100691,200,1358409,0,2,32573,2
692,100692,200,1358684,0,2,100001,1
693,100693,200,1359364,0,4,440,2
694,100694,200,1363001,0,1,26328,1
695,100695,200,1364908,0,1,6555,1
696,100696,200,1364908,1,1,36242,2
697,100697,200,1365048,0,4,80560,1
698,100698,200,1370754,0,1,100001,2
699,100699,200,1375308,0,3,52938,1
700,100700,200,1378432,0,2,100001,1
701,100701,200,1382841,0,2,31049,1
702,100702,200,1389248,0,2,100001,1
703,100703,200,1396290,0,1,27238,1
704,100704,200,1396290,1,1,24867,1
705,100705,200,1396772,0,2,26269,2
706,100706,200,1397347,0,1,27860,1
707,100707,200,1397347,1,1,34595,1
708,100708,200,1397347,2,1,33473,2
709,100709,200,1400591,0,1,43279,1
710,100710,200,1400871,0,2,25697,2
711,100711,200,1400920,0,2,67710,2
712,100712,200,1405553,0,1,20034,1
713,100713,200,1413972,0,2,47575,2
714,100714,301,3705,0,4,67990,2
715,100715,301,3705,1,4,29149,2
716,100716,301,3705,2,4,100001,4
717,100717,301,3705,3,4,37282,4
718,100718,301,3960,0,2,100001,2
719,100719,301,3960,1,2,6295,2
720,100720,301,11119,0,2,100001,2
721,100721,301,11119,1,2,30022,1
722,100722,301,11119,2,2,47734,4
723,100723,301,13619,0,2,36886,2
