household_id,building_id,tract,serial_number,repeat_index,persons,income,num_vehicles,,,,
62,29501,200,153452,0,1,<=40000,1,,,,
63,27952,200,155405,0,2,40000+,3,,,,
64,6412,200,156136,0,1,<=40000,1,,,,
65,16549,200,156136,1,1,<=40000,1,,,,
66,73491,200,160877,0,2,<=40000,0,,,,
67,26902,200,161490,0,2,<=40000,2,,,,
68,12775,200,166996,0,2,<=40000,2,,,,
69,5802,200,166996,1,2,<=40000,2,,,,
70,73629,200,168614,0,2,40000+,3,,,,
71,32472,200,172351,0,2,<=40000,1,,,,
72,27317,200,181028,0,1,<=40000,1,,,,
73,12269,200,181028,1,1,<=40000,1,,,,
74,33700,200,181028,2,1,<=40000,0,,,,
75,37392,200,181028,3,1,<=40000,1,,,,
76,10006,200,182464,0,1,<=40000,1,,,,
77,32105,200,184841,0,2,40000+,2,,,,
78,45408,200,184841,1,2,40000+,2,,,,
79,70484,200,184841,2,2,40000+,2,,,,
80,17361,200,186167,0,2,40000+,2,,,,
81,62666,200,186167,1,2,40000+,4,,,,
82,12412,200,187735,0,1,<=40000,1,,,,
83,16660,200,191073,0,1,<=40000,1,,,,
84,6003,200,191073,1,1,<=40000,1,,,,
85,35146,200,191073,2,1,<=40000,1,,,,
86,68623,200,191073,3,1,<=40000,1,,,,
87,49969,200,191073,4,1,<=40000,3,,,,
88,46497,200,191528,0,3,40000+,4,,,,
89,21557,200,193749,0,2,<=40000,1,,,,
90,77299,200,196691,0,2,40000+,1,,,,
91,44501,200,198515,0,3,<=40000,2,,,,
92,39638,200,199107,0,1,<=40000,2,,,,
93,56643,200,199107,1,1,<=40000,1,,,,
94,17339,200,199107,2,1,<=40000,1,,,,
95,9290,200,203643,0,3,40000+,2,,,,
96,6447,200,204862,0,1,<=40000,1,,,,
97,34422,200,204862,1,1,<=40000,1,,,,
98,10421,200,208427,0,1,<=40000,1,,,,
99,26669,200,209408,0,1,<=40000,1,,,,
100,21311,200,209408,1,1,<=40000,1,,,,
101,31219,200,216007,0,1,<=40000,1,,,,
102,25909,200,216007,1,1,<=40000,0,,,,
103,34080,200,216225,0,4+,40000+,2,,,,
104,42427,200,221361,0,4+,<=40000,3,,,,
105,31472,200,224039,0,2,40000+,2,,,,
106,67408,200,225487,0,2,<=40000,2,,,,
107,26764,200,227059,0,2,<=40000,2,,,,
108,70844,200,229382,0,1,<=40000,1,,,,
109,26984,200,229382,1,1,<=40000,1,,,,
110,28657,200,229382,2,1,<=40000,1,,,,
111,73450,200,229382,3,1,<=40000,0,,,,
112,82,200,236622,0,1,<=40000,0,,,,
113,15444,200,236622,1,1,<=40000,1,,,,
114,25390,200,241143,0,2,40000+,1,,,,
115,74511,200,241143,1,2,40000+,1,,,,
116,52113,200,242704,0,2,40000+,3,,,,
117,10460,200,243207,0,3,40000+,2,,,,
118,10803,200,244732,0,2,40000+,2,,,,
119,34910,200,246096,0,2,40000+,1,,,,
120,46566,200,247028,0,2,<=40000,2,,,,
121,54893,200,247683,0,1,<=40000,1,,,,
122,44188,200,248999,0,4+,<=40000,4,,,,
123,63150,200,249365,0,1,<=40000,1,,,,
124,64451,200,249887,0,1,<=40000,2,,,,
125,14528,200,252645,0,1,<=40000,0,,,,
126,11974,200,252645,1,1,<=40000,0,,,,
127,45425,200,254904,0,2,40000+,2,,,,
128,550,200,255555,0,1,<=40000,1,,,,
129,77248,200,255555,1,1,<=40000,1,,,,
130,12817,200,255555,2,1,<=40000,1,,,,
131,32093,200,255860,0,1,<=40000,1,,,,
132,54357,200,263931,0,3,40000+,2,,,,
133,6491,200,270215,0,2,<=40000,2,,,,
134,2063,200,272665,0,1,<=40000,1,,,,
135,47351,200,281618,0,1,<=40000,0,,,,
136,31443,200,282514,0,1,<=40000,1,,,,
137,69300,200,282514,1,1,<=40000,0,,,,
138,19580,200,282559,0,2,<=40000,2,,,,
139,58985,200,282559,1,2,<=40000,1,,,,
140,28131,200,290122,0,3,40000+,2,,,,
141,60217,200,294231,0,1,<=40000,1,,,,
142,74699,200,294231,1,1,<=40000,3,,,,
143,74068,200,298154,0,2,40000+,2,,,,
144,24790,200,305981,0,1,<=40000,1,,,,
145,38032,200,308544,0,1,<=40000,1,,,,
146,34774,200,316863,0,1,<=40000,1,,,,
147,51168,200,317190,0,3,40000+,6,,,,
148,56491,200,317190,1,3,<=40000,1,,,,
149,1179,200,319878,0,2,40000+,2,,,,
150,20492,200,319878,1,2,40000+,4,,,,
151,41834,200,319878,2,2,<=40000,2,,,,
152,21683,200,320216,0,1,<=40000,1,,,,
153,12159,200,321561,0,1,<=40000,1,,,,
154,50580,200,321844,0,3,40000+,3,,,,
155,42591,200,329100,0,3,40000+,4,,,,
156,54321,200,329100,1,3,40000+,2,,,,
157,41503,200,329100,2,3,40000+,2,,,,
158,24827,200,331848,0,3,40000+,3,,,,
159,77930,200,337716,0,1,<=40000,2,,,,
160,5286,200,338729,0,4+,40000+,2,,,,
161,47299,200,340363,0,1,<=40000,2,,,,
162,17358,200,340363,1,1,<=40000,1,,,,
163,45149,200,342884,0,2,40000+,1,,,,
164,33110,200,342898,0,1,<=40000,1,,,,
165,73727,200,342898,1,1,<=40000,1,,,,
166,49912,200,342898,2,1,<=40000,1,,,,
167,48739,200,342898,3,1,<=40000,1,,,,
168,37633,200,342898,4,1,<=40000,1,,,,
169,30240,200,353200,0,1,<=40000,1,,,,
170,62552,200,353286,0,3,<=40000,2,,,,
171,16280,200,353998,0,2,<=40000,1,,,,
172,3048,200,353998,1,2,<=40000,2,,,,
173,48563,200,359793,0,4+,40000+,2,,,,
174,12442,200,360543,0,1,<=40000,0,,,,
175,50866,200,360543,1,1,<=40000,1,,,,
176,6557,200,360543,2,1,<=40000,1,,,,
177,14137,200,360543,3,1,<=40000,1,,,,
178,12762,200,363520,0,4+,40000+,0,,,,
179,47665,200,365933,0,2,40000+,2,,,,
180,24640,200,366032,0,3,<=40000,2,,,,
181,64595,200,367122,0,2,40000+,2,,,,
182,18624,200,367423,0,2,40000+,2,,,,
183,49153,200,372621,0,4+,40000+,3,,,,
184,3841,200,381196,0,2,<=40000,2,,,,
185,50618,200,383209,0,1,<=40000,2,,,,
186,7781,200,392051,0,1,<=40000,0,,,,
187,22930,200,397081,0,3,40000+,2,,,,
188,24936,200,397941,0,1,<=40000,1,,,,
189,22006,200,401647,0,4+,<=40000,2,,,,
190,41920,200,406595,0,2,<=40000,3,,,,
191,9646,200,408712,0,3,40000+,1,,,,
192,26961,200,413167,0,1,<=40000,1,,,,
193,43374,200,413167,1,1,<=40000,1,,,,
194,18861,200,413167,2,1,<=40000,1,,,,
195,55696,200,421506,0,2,<=40000,3,,,,
196,66585,200,421506,1,2,<=40000,2,,,,
197,67949,200,422792,0,2,<=40000,1,,,,
198,59459,200,432248,0,1,<=40000,1,,,,
199,10147,200,432407,0,2,<=40000,2,,,,
200,1821,200,439233,0,2,40000+,1,,,,
201,9628,200,445166,0,1,<=40000,1,,,,
202,50176,200,446354,0,2,<=40000,1,,,,
203,66119,200,450105,0,4+,40000+,2,,,,
204,55579,200,451376,0,2,40000+,1,,,,
205,9335,200,453888,0,2,<=40000,1,,,,
206,20425,200,453888,1,2,40000+,2,,,,
207,32796,200,453888,2,2,<=40000,2,,,,
208,77395,200,454592,0,2,40000+,2,,,,
209,5006,200,457690,0,1,<=40000,0,,,,
210,13621,200,458908,0,2,40000+,2,,,,
211,1038,200,464963,0,3,40000+,3,,,,
212,34329,200,471835,0,1,<=40000,1,,,,
213,57105,200,474890,0,2,40000+,2,,,,
214,54409,200,476053,0,3,<=40000,2,,,,
215,20479,200,478596,0,1,<=40000,1,,,,
216,75267,200,485050,0,4+,<=40000,0,,,,
217,4270,200,490673,0,1,<=40000,2,,,,
218,21753,200,490673,1,1,<=40000,0,,,,
219,54451,200,490706,0,2,40000+,1,,,,
220,50160,200,493930,0,1,<=40000,0,,,,
221,48460,200,493930,1,1,<=40000,1,,,,
222,40497,200,496589,0,2,<=40000,1,,,,
223,68833,200,497543,0,2,40000+,1,,,,
224,54425,200,499593,0,2,40000+,2,,,,
225,25232,200,502833,0,1,<=40000,0,,,,
226,70154,200,502833,1,1,<=40000,1,,,,
227,39773,200,503319,0,2,<=40000,1,,,,
228,34321,200,504469,0,3,40000+,5,,,,
229,46169,200,505201,0,1,<=40000,0,,,,
230,26476,200,506802,0,2,<=40000,1,,,,
231,21066,200,506802,1,2,40000+,2,,,,
232,4275,200,509129,0,1,<=40000,1,,,,
233,6924,200,509479,0,4+,40000+,1,,,,
234,64153,200,510319,0,2,40000+,2,,,,
235,55912,200,512238,0,2,40000+,1,,,,
236,15588,200,512238,1,2,<=40000,2,,,,
237,22516,200,513251,0,2,40000+,1,,,,
238,15868,200,515020,0,1,<=40000,1,,,,
239,14977,200,516133,0,1,<=40000,1,,,,
240,11114,200,516133,1,1,<=40000,2,,,,
241,77399,200,518110,0,4+,40000+,3,,,,
242,30267,200,519592,0,2,<=40000,3,,,,
243,52418,200,521800,0,2,<=40000,3,,,,
244,53339,200,525274,0,2,<=40000,2,,,,
245,59484,200,525274,1,2,<=40000,2,,,,
246,44967,200,525274,2,2,40000+,2,,,,
247,77656,200,527687,0,2,40000+,2,,,,
248,40970,200,531179,0,2,40000+,1,,,,
249,76035,200,535887,0,1,<=40000,1,,,,
250,40121,200,539871,0,2,40000+,2,,,,
251,13992,200,545706,0,3,<=40000,1,,,,
252,10054,200,545910,0,3,<=40000,1,,,,
253,29826,200,546469,0,2,40000+,0,,,,
254,46584,200,546469,1,2,<=40000,2,,,,
255,32873,200,546469,2,2,<=40000,1,,,,
256,25537,200,546469,3,2,40000+,2,,,,
257,68738,200,550832,0,2,40000+,2,,,,
258,9114,200,551921,0,3,40000+,3,,,,
259,58943,200,553457,0,1,<=40000,1,,,,
260,12459,200,560091,0,3,40000+,3,,,,
261,14061,200,563015,0,3,<=40000,2,,,,
262,76067,200,563718,0,2,<=40000,1,,,,
263,2002,200,564818,0,2,40000+,3,,,,
264,46981,200,566353,0,4+,40000+,1,,,,
265,4094,200,566489,0,1,<=40000,1,,,,
266,73274,200,569745,0,3,40000+,2,,,,
267,30942,200,574278,0,3,40000+,3,,,,
268,68996,200,575324,0,2,40000+,2,,,,
269,50795,200,578782,0,1,<=40000,2,,,,
270,11859,200,579627,0,1,<=40000,3,,,,
271,56917,200,581259,0,2,<=40000,2,,,,
272,29714,200,582340,0,1,<=40000,0,,,,
273,68133,200,591402,0,1,<=40000,3,,,,
274,51129,200,591402,1,1,<=40000,3,,,,
275,33741,200,591657,0,1,<=40000,1,,,,
276,5777,200,592066,0,3,40000+,3,,,,
277,53807,200,592629,0,4+,40000+,2,,,,
278,41581,200,593541,0,2,40000+,1,,,,
279,2268,200,595345,0,3,40000+,2,,,,
280,77062,200,595345,1,3,40000+,2,,,,
281,72753,200,595345,2,3,40000+,2,,,,
282,40681,200,599563,0,2,<=40000,2,,,,
283,1519,200,600551,0,2,<=40000,2,,,,
284,22081,200,600551,1,2,40000+,1,,,,
285,61496,200,602759,0,1,<=40000,2,,,,
286,17864,200,610626,0,1,<=40000,1,,,,
287,12961,200,612991,0,4+,40000+,1,,,,
288,68092,200,613880,0,1,<=40000,1,,,,
289,44150,200,614376,0,1,<=40000,1,,,,
290,19814,200,615375,0,1,<=40000,1,,,,
291,21704,200,615441,0,2,<=40000,2,,,,
292,39498,200,615830,0,3,40000+,3,,,,
293,55042,200,619575,0,2,40000+,2,,,,
294,59167,200,619575,1,2,<=40000,0,,,,
295,57772,200,619575,2,2,40000+,2,,,,
296,65800,200,619848,0,1,<=40000,1,,,,
297,72423,200,627512,0,2,40000+,1,,,,
298,37620,200,627512,1,2,40000+,3,,,,
299,35941,200,628816,0,3,40000+,3,,,,
300,73434,200,634731,0,1,<=40000,1,,,,
301,60810,200,636523,0,1,<=40000,1,,,,
302,37173,200,643309,0,1,<=40000,1,,,,
303,43130,200,643309,1,1,<=40000,1,,,,
304,24935,200,646288,0,1,<=40000,0,,,,
305,15808,200,646288,1,1,<=40000,1,,,,
306,24383,200,652483,0,1,<=40000,1,,,,
307,47088,200,652483,1,1,<=40000,1,,,,
308,73699,200,660577,0,2,<=40000,2,,,,
309,11446,200,661565,0,3,40000+,2,,,,
310,27208,200,662110,0,1,<=40000,3,,,,
311,2954,200,662110,1,1,<=40000,1,,,,
312,31573,200,664681,0,2,<=40000,1,,,,
313,16850,200,668001,0,4+,40000+,2,,,,
314,71218,200,670275,0,2,40000+,2,,,,
315,50730,200,670723,0,4+,40000+,3,,,,
316,15359,200,672269,0,4+,40000+,2,,,,
317,35712,200,673564,0,2,40000+,1,,,,
318,34066,200,677684,0,2,<=40000,2,,,,
319,52895,200,679484,0,1,<=40000,1,,,,
320,16011,200,679484,1,1,<=40000,1,,,,
321,61542,200,679484,2,1,<=40000,2,,,,
322,13616,200,679484,3,1,<=40000,1,,,,
323,10067,200,680086,0,1,<=40000,1,,,,
324,16163,200,680086,1,1,<=40000,2,,,,
325,49321,200,681611,0,2,40000+,1,,,,
326,5695,200,684474,0,3,40000+,2,,,,
327,47631,200,688412,0,2,40000+,1,,,,
328,56798,200,688412,1,2,<=40000,1,,,,
329,11157,200,692246,0,2,<=40000,2,,,,
330,33089,200,692530,0,2,40000+,1,,,,
331,37722,200,696446,0,3,<=40000,4,,,,
332,52462,200,699417,0,1,<=40000,1,,,,
333,2229,200,699417,1,1,<=40000,1,,,,
334,73382,200,703796,0,1,<=40000,1,,,,
335,35028,200,704643,0,2,<=40000,2,,,,
336,8368,200,704643,1,2,40000+,3,,,,
337,41399,200,709398,0,1,<=40000,1,,,,
338,44106,200,712309,0,2,40000+,1,,,,
339,59234,200,712352,0,2,<=40000,3,,,,
340,31923,200,713342,0,4+,40000+,2,,,,
341,11387,200,722943,0,4+,40000+,3,,,,
342,64961,200,725451,0,1,<=40000,0,,,,
343,76215,200,725451,1,1,<=40000,1,,,,
344,53185,200,727405,0,1,<=40000,1,,,,
345,64430,200,727405,1,1,<=40000,1,,,,
346,32870,200,731932,0,3,40000+,6,,,,
347,70086,200,733257,0,2,40000+,0,,,,
348,62289,200,740321,0,1,<=40000,1,,,,
349,37619,200,742056,0,2,40000+,3,,,,
350,72096,200,745045,0,2,<=40000,2,,,,
351,69364,200,745045,1,2,40000+,1,,,,
352,51385,200,745045,2,2,40000+,1,,,,
353,61797,200,745045,3,2,40000+,1,,,,
354,8373,200,746694,0,1,<=40000,2,,,,
355,45369,200,748690,0,2,40000+,0,,,,
356,63375,200,750415,0,2,40000+,2,,,,
357,11744,200,750415,1,2,40000+,1,,,,
358,60445,200,751289,0,3,40000+,2,,,,
359,77905,200,751289,1,3,40000+,2,,,,
360,32224,200,751289,2,3,40000+,4,,,,
361,15551,200,751920,0,1,<=40000,2,,,,
362,24654,200,753920,0,2,<=40000,2,,,,
363,36974,200,753937,0,1,<=40000,2,,,,
364,16045,200,755117,0,1,<=40000,1,,,,
365,45839,200,755997,0,1,<=40000,0,,,,
366,56656,200,755997,1,1,<=40000,2,,,,
367,65115,200,756816,0,3,40000+,4,,,,
368,68316,200,757912,0,1,<=40000,1,,,,
369,10900,200,758861,0,4+,40000+,3,,,,
370,31802,200,760764,0,1,<=40000,1,,,,
371,21999,200,760764,1,1,<=40000,1,,,,
372,664,200,761635,0,2,40000+,2,,,,
373,58509,200,764151,0,2,<=40000,2,,,,
374,74780,200,764151,1,2,<=40000,2,,,,
375,42311,200,764449,0,2,<=40000,1,,,,
376,57500,200,765007,0,2,40000+,2,,,,
377,16730,200,765007,1,2,40000+,1,,,,
378,72349,200,765474,0,4+,<=40000,2,,,,
379,53132,200,768207,0,4+,<=40000,2,,,,
380,35624,200,768509,0,3,40000+,6,,,,
381,18940,200,768509,1,3,40000+,6,,,,
382,52614,200,769668,0,2,40000+,1,,,,
383,62910,200,770475,0,4+,40000+,1,,,,
384,40826,200,772064,0,3,40000+,2,,,,
385,11148,200,772064,1,3,40000+,3,,,,
386,180,200,772064,2,3,40000+,2,,,,
387,642,200,772064,3,3,40000+,2,,,,
388,63170,200,772064,4,3,40000+,6,,,,
389,44430,200,773978,0,2,40000+,1,,,,
390,65431,200,777539,0,1,<=40000,0,,,,
391,41387,200,778215,0,2,<=40000,2,,,,
392,2094,200,788967,0,1,<=40000,1,,,,
393,6097,200,789433,0,3,40000+,2,,,,
394,33133,200,789433,1,3,40000+,3,,,,
395,19555,200,789472,0,2,40000+,1,,,,
396,64091,200,789472,1,2,<=40000,2,,,,
397,36147,200,789472,2,2,40000+,2,,,,
398,9081,200,792609,0,1,<=40000,1,,,,
399,50074,200,792609,1,1,<=40000,1,,,,
400,30282,200,793035,0,1,<=40000,1,,,,
401,18267,200,793530,0,2,<=40000,0,,,,
402,23058,200,794179,0,1,<=40000,1,,,,
403,8919,200,794179,1,1,<=40000,1,,,,
404,31846,200,795387,0,1,<=40000,1,,,,
405,39893,200,796614,0,3,40000+,0,,,,
406,61894,200,796813,0,2,<=40000,2,,,,
407,67835,200,796813,1,2,40000+,2,,,,
408,6574,200,798385,0,1,<=40000,1,,,,
409,30683,200,800786,0,1,<=40000,0,,,,
410,1300,200,804905,0,1,<=40000,1,,,,
411,71708,200,805196,0,1,<=40000,1,,,,
412,68711,200,811623,0,1,<=40000,1,,,,
413,39293,200,815740,0,1,<=40000,1,,,,
414,1181,200,817574,0,4+,40000+,2,,,,
415,14277,200,817574,1,4+,40000+,1,,,,
416,36912,200,818440,0,1,<=40000,1,,,,
417,57135,200,818440,1,1,<=40000,1,,,,
418,13594,200,818440,2,1,<=40000,4,,,,
419,4730,200,822692,0,1,<=40000,1,,,,
420,19933,200,825652,0,3,40000+,3,,,,
421,35575,200,831390,0,1,<=40000,1,,,,
422,24445,200,831390,1,1,<=40000,1,,,,
423,5711,200,831956,0,1,<=40000,1,,,,
424,68662,200,832037,0,3,<=40000,2,,,,
425,34314,200,834971,0,4+,40000+,3,,,,
426,18825,200,839179,0,2,40000+,4,,,,
427,23170,200,843903,0,4+,40000+,3,,,,
428,31620,200,844575,0,2,40000+,0,,,,
429,39972,200,847951,0,2,<=40000,2,,,,
430,58874,200,849589,0,3,40000+,4,,,,
431,57168,200,851814,0,1,<=40000,1,,,,
432,74886,200,863975,0,4+,40000+,2,,,,
433,70057,200,871496,0,2,40000+,3,,,,
434,52277,200,871496,1,2,40000+,3,,,,
435,45952,200,871496,2,2,40000+,1,,,,
436,61390,200,871956,0,3,40000+,2,,,,
437,50762,200,876963,0,2,<=40000,1,,,,
438,41050,200,876963,1,2,<=40000,0,,,,
439,60094,200,877990,0,4+,<=40000,2,,,,
440,3884,200,878645,0,2,<=40000,2,,,,
441,35993,200,879211,0,1,<=40000,2,,,,
442,75516,200,879211,1,1,<=40000,1,,,,
443,67755,200,881174,0,3,40000+,2,,,,
444,57312,200,882137,0,1,<=40000,1,,,,
445,76544,200,882137,1,1,<=40000,0,,,,
446,58496,200,887101,0,1,<=40000,0,,,,
447,1426,200,887905,0,4+,<=40000,2,,,,
448,76141,200,888393,0,2,<=40000,3,,,,
449,40516,200,888393,1,2,<=40000,2,,,,
450,25422,200,893560,0,2,<=40000,0,,,,
451,25933,200,893667,0,3,40000+,2,,,,
452,24487,200,893838,0,2,40000+,2,,,,
453,34382,200,897510,0,4+,40000+,1,,,,
454,45134,200,898814,0,3,40000+,3,,,,
455,66845,200,902962,0,2,<=40000,2,,,,
456,76605,200,906069,0,2,<=40000,1,,,,
457,4079,200,909716,0,1,<=40000,1,,,,
458,40605,200,909716,1,1,<=40000,0,,,,
459,43068,200,911674,0,1,<=40000,0,,,,
460,32996,200,911674,1,1,<=40000,1,,,,
461,48147,200,911674,2,1,<=40000,1,,,,
462,20324,200,913677,0,1,<=40000,0,,,,
463,21677,200,913887,0,3,<=40000,2,,,,
464,44330,200,913887,1,3,40000+,2,,,,
465,1285,200,914072,0,1,<=40000,1,,,,
466,41074,200,914522,0,1,<=40000,1,,,,
467,13597,200,918566,0,2,40000+,2,,,,
468,24873,200,920462,0,1,<=40000,1,,,,
469,39776,200,921408,0,2,<=40000,2,,,,
470,28661,200,922290,0,1,<=40000,3,,,,
471,65366,200,922290,1,1,<=40000,1,,,,
472,20226,200,923497,0,3,40000+,1,,,,
473,4795,200,927634,0,1,<=40000,1,,,,
474,25452,200,929452,0,2,40000+,2,,,,
475,63572,200,931389,0,2,<=40000,2,,,,
476,63381,200,931902,0,3,40000+,1,,,,
477,9673,200,931902,1,3,40000+,6,,,,
478,57045,200,932095,0,2,40000+,1,,,,
479,26081,200,932095,1,2,40000+,2,,,,
480,19986,200,937063,0,4+,40000+,3,,,,
481,42149,200,941607,0,1,<=40000,1,,,,
482,35726,200,946389,0,3,40000+,3,,,,
483,29656,200,946389,1,3,<=40000,3,,,,
484,27746,200,946389,2,3,40000+,5,,,,
485,3084,200,946389,3,3,40000+,2,,,,
486,41575,200,946389,4,3,40000+,3,,,,
487,24239,200,946389,5,3,40000+,6,,,,
488,34712,200,947792,0,2,40000+,1,,,,
489,60776,200,948936,0,2,<=40000,4,,,,
490,11470,200,951730,0,4+,<=40000,2,,,,
491,63233,200,952327,0,2,<=40000,0,,,,
492,48582,200,954121,0,2,40000+,6,,,,
493,63526,200,957037,0,1,<=40000,1,,,,
494,28342,200,957037,1,1,<=40000,1,,,,
495,29119,200,962295,0,2,<=40000,1,,,,
496,45572,200,963585,0,2,40000+,3,,,,
497,6067,200,965867,0,2,40000+,0,,,,
498,51617,200,970131,0,2,40000+,2,,,,
499,38420,200,973740,0,2,40000+,2,,,,
500,19060,200,973740,1,2,<=40000,2,,,,
501,2160,200,976278,0,1,<=40000,3,,,,
502,58439,200,976743,0,2,40000+,1,,,,
503,13229,200,984174,0,2,40000+,1,,,,
504,29937,200,990180,0,1,<=40000,1,,,,
505,32862,200,990805,0,1,<=40000,2,,,,
506,32008,200,994584,0,2,<=40000,2,,,,
507,20863,200,995254,0,1,<=40000,1,,,,
508,32728,200,996103,0,2,<=40000,2,,,,
509,62496,200,996103,1,2,<=40000,2,,,,
510,38415,200,1009835,0,2,<=40000,2,,,,
511,23335,200,1009835,1,2,<=40000,2,,,,
512,48938,200,1010086,0,3,<=40000,2,,,,
513,26008,200,1014146,0,2,<=40000,1,,,,
514,46070,200,1015901,0,2,40000+,1,,,,
515,5203,200,1016105,0,1,<=40000,1,,,,
516,73335,200,1016199,0,1,<=40000,2,,,,
517,6333,200,1017922,0,1,<=40000,0,,,,
518,59755,200,1025486,0,1,<=40000,1,,,,
519,40902,200,1025486,1,1,<=40000,1,,,,
520,62530,200,1037358,0,1,<=40000,2,,,,
521,21537,200,1045900,0,1,<=40000,0,,,,
522,105,200,1045900,1,1,<=40000,1,,,,
523,66159,200,1045900,2,1,<=40000,2,,,,
524,1271,200,1045900,3,1,<=40000,0,,,,
525,40468,200,1045900,4,1,<=40000,1,,,,
526,5091,200,1047626,0,2,40000+,1,,,,
527,30918,200,1047626,1,2,40000+,1,,,,
528,33767,200,1047626,2,2,<=40000,3,,,,
529,26364,200,1047703,0,3,40000+,2,,,,
530,302,200,1048671,0,1,<=40000,0,,,,
531,61565,200,1053912,0,4+,40000+,4,,,,
532,77075,200,1054402,0,3,<=40000,3,,,,
533,57535,200,1056362,0,2,40000+,4,,,,
534,3441,200,1056362,1,2,40000+,2,,,,
535,66030,200,1057417,0,4+,40000+,0,,,,
536,60328,200,1062759,0,2,40000+,2,,,,
537,13573,200,1064824,0,3,<=40000,3,,,,
538,33966,200,1068356,0,1,<=40000,1,,,,
539,63926,200,1069540,0,1,<=40000,1,,,,
540,21642,200,1071078,0,2,40000+,1,,,,
541,55782,200,1076212,0,2,40000+,3,,,,
542,67661,200,1078478,0,2,40000+,1,,,,
543,60461,200,1078747,0,2,40000+,3,,,,
544,36105,200,1078747,1,2,40000+,1,,,,
545,74657,200,1080597,0,1,<=40000,1,,,,
546,54881,200,1083761,0,1,<=40000,2,,,,
547,22099,200,1083761,1,1,<=40000,1,,,,
548,27306,200,1083761,2,1,<=40000,0,,,,
549,17352,200,1086848,0,2,40000+,1,,,,
550,49539,200,1086848,1,2,40000+,2,,,,
551,28838,200,1089088,0,2,<=40000,2,,,,
552,8774,200,1093792,0,1,<=40000,2,,,,
553,32110,200,1093792,1,1,<=40000,1,,,,
554,52906,200,1095716,0,2,<=40000,2,,,,
555,71259,200,1095716,1,2,<=40000,1,,,,
556,7734,200,1100132,0,1,<=40000,1,,,,
557,21127,200,1100132,1,1,<=40000,1,,,,
558,26204,200,1100233,0,2,<=40000,1,,,,
559,71692,200,1104913,0,1,<=40000,1,,,,
560,47424,200,1104913,1,1,<=40000,1,,,,
561,67231,200,1106982,0,4+,<=40000,1,,,,
